Thr Precision Recall
0 1 0.0537232
0.01 1 0.0537232
0.02 1 0.0537232
0.03 1 0.0537232
0.04 1 0.0537232
0.05 1 0.0537232
0.06 1 0.0537232
0.07 1 0.0537232
0.08 1 0.0537232
0.09 1 0.0537232
0.1 1 0.0537232
0.11 1 0.0537232
0.12 1 0.0537232
0.13 1 0.0537232
0.14 1 0.0537232
0.15 nan nan
0.16 1 0.0537232
0.17 1 0.0537232
0.18 1 0.0537232
0.19 1 0.0537232
0.2 1 0.0537232
0.21 1 0.0537232
0.22 1 0.0537232
0.23 1 0.0537232
0.24 1 0.0537232
0.25 1 0.0537232
0.26 1 0.0537522
0.27 1 0.0537522
0.28 1 0.0537522
0.29 1 0.0538922
0.3 1 0.0542211
0.31 1 0.0542211
0.32 1 0.0548817
0.33 1 0.0548817
0.34 1 0.0557831
0.35 1 0.0557831
0.36 1 0.0575425
0.37 1 0.0575425
0.38 1 0.0597009
0.39 1 0.0597009
0.4 1 0.0625236
0.41 1 0.0625236
0.42 1 0.0658064
0.43 1 0.0658064
0.44 1 0.0697208
0.45 1 0.0697208
0.46 1 0.074894
0.47 1 0.074894
0.48 1 0.0812066
0.49 1 0.0812066
0.5 1 0.0896432
0.51 1 0.0896432
0.52 1 0.0983254
0.53 1 0.0983254
0.54 1 0.109708
0.55 1 0.109708
0.56 1 0.120821
0.57 1 0.120821
0.58 1 0.133001
0.59 1 0.133001
0.6 1 0.145934
0.61 1 0.145934
0.62 1 0.160085
0.63 1 0.160085
0.64 1 0.178232
0.65 1 0.178232
0.66 1 0.198582
0.67 1 0.198582
0.68 1 0.217932
0.69 1 0.217932
0.7 1 0.240343
0.71 1 0.240343
0.72 1 0.259502
0.73 1 0.259502
0.74 0.997167 0.295302
0.75 0.997167 0.295302
0.76 0.993289 0.316578
0.77 0.993289 0.316578
0.78 0.979839 0.340336
0.79 0.979839 0.340336
0.8 0.958333 0.372973
0.81 0.958333 0.372973
0.82 0.89418 0.424623
0.83 0.89418 0.424623
0.84 0.778443 0.496183
0.85 0.778443 0.496183
0.86 0.632653 0.550296
0.87 0.632653 0.550296
0.88 0.5 0.612613
0.89 0.5 0.612613
0.9 0.360902 0.738462
0.91 0.360902 0.738462
0.92 0.25 0.785714
0.93 0.25 0.785714
0.94 0.136364 0.9
0.95 0.136364 0.9
0.96 0.0454545 0.75
0.97 0.0454545 0.75
0.98 0.00757576 0.333333
0.99 0.00757576 0.333333
